This discovery helped to establish yet another spectral class even cooler than L dwarfs , known as `` T dwarfs '' , for which Gliese 229B is the prototype .	prototype	model	example	original	sample	exemplar	archetype	pattern	design	template	paradigm
Putin was expected to formally register later in the day to run for president, a position he held from 2000-2008, a period in which he grew more authoritarian.	authoritarian	dictatorial	autocratic	totalitarian	tyrannical	despotic	imperious	domineering	absolute	arbitrary	monarchical
#7-8 Despite the fog, other flights are reported to have landed safely leading up to the collision.	collision	crash	accident	impact	clash	smash	crack	slam	bump	bang	smashing
The larva grows to about 120-130 mm , and pupates in an underground chamber .	pupates	transforms	develops	matures	hatches	evolves	metamorphoses	changes	mutates	ripens	incubates
Gorbachev told the Interfax news agency that authorities must hold a fresh election or deal with a rising tide of discontent.	discontent	unhappiness	dissatisfaction	discontentment	anger	protest	resentment	bitterness	indignation	frustration	irritation
It decomposes to arsenic trioxide , elemental arsenic and iodine when heated in air at 200 ° C.	decomposes	breaks down	decomposes	dissolves	disintegrates	crumbles	collapses	falls apart	separates	divides	splits
#4-6 In 1969 Cernan flew aboard Apollo 10, a flight to the Moon that rehearsed a descent but purposefully did not land in preparation for the Apollo 11 landing.	descent	fall	drop	decline	ascent	arrival	landing	dive	plunge	slip	slide
Lebanon is sharply split along sectarian lines, with 18 religious sects.	sectarian	sectarian	denominational	confessional	communal	racial	ethnic	tribal	partisan	factional	doctrinal
The fighting highlights how easily trouble in Syria can raise tensions in neighboring Lebanon, with which it shares a complex web of political and sectarian ties and rivalries.	sectarian	sectarian	denominational	factional	partisan	racial	ideological	ethnic	tribal	communal	religious
He said the victim died in the neighbourhood of Jabal Mohsen, populated mainly by members of Assad's Alawite sect, an offshoot of Shiite Islam.	offshoot	branch	sect	denomination	faction	division	subset	subgroup	affiliate	descendant	spinoff
The Order was the first national decoration awarded by the Japanese Government , created on 10 April 1875 by decree of the Council of State .	decree	order	edict	pronouncement	announcement	declaration	statement	proclamation	ordinance	command	directive
Police said suicide attackers wearing burqas struck at 6:15 am (0145 GMT), detonating a car bomb before clashing with guards.	detonating	exploding	blowing up	setting off	triggering	activating	igniting	firing	discharging	setting alight	combusting
The EU believes the deficit will be 6.4 percent this year and will only be reduced by 0.1 percent in 2013.	deficit	shortfall	deficiency	lack	debt	loss	gap	shortage	disadvantage	handicap	weakness
#36-14 A suggestion had been the addition of a canopy over the car's cockpit.	canopy	awning	cover	roof	umbrella	hood	shelter	dome	screen	parasol	marquee
#39-22 Hyza says they will "actively cooperate with Slovak police", and "express [their] sincere condolences to the bereaved families."	condolences	sympathy	regrets	sorrow	apologies	commiserations	pity	solace	grief	condolences	lamentation
Banking reform is seen as urgent by many analysts, with yields on benchmark Spanish bonds currently close to six percent, meaning the country faces very high borrowing costs.	benchmark	standard	reference	model	example	guide	pattern	yardstick	indicator	measure	gauge
In Japan , rice with azuki beans ( 赤飯 ; sekihan ) is traditionally cooked for auspicious occasions .	auspicious	lucky	favorable	fortunate	bright	promising	hopeful	encouraging	positive	good	happy
Police are appealing for information about anyone seen acting suspiciously lately at Bidston Hill, Bidston, to come forward.	suspiciously	doubtfully	cautiously	secretively	covertly	stealthily	furtively	surreptitiously	privately	mysteriously	questionably
Her older sister, aged 21, lived at the rented house, in a recently built development at the back of the established housing estate.	established	settled	longstanding	existing	founded	recognized	respected	stable	secure	permanent	traditional
That period of intense regulatory scrutiny is a routine part of the purchasing process, as every company that makes more than 400 million yuan ($63 million) in China and 10 billion yuan ($1.6 billion) globally is subject to the process.	scrutiny	examination	review	inspection	investigation	analysis	probe	inquiry	check	survey	audit
An array of pro-Syrian parties support Assad's regime, as do many Lebanese citizens.	regime	government	administration	rule	leadership	regime	system	power	management	authority	establishment
And in the capital Damascus, regime forces raided the neighborhood of Qaboon, while snipers were stationed on the roofs of some buildings.	snipers	gunmen	shooters	marksmen	riflemen	assassins	sharpshooters	attackers	fighters	soldiers	troops
#2-19 Robert added the group knew travel and work in the area was dangerous, and took precautions.	precautions	measures	safeguards	prevention	protection	caution	defenses	security	steps	actions	arrangements
The Spanish government source said the 30-billion euro provisions would have an impact in capital of about 20 billion which, added to another estimated 20 billion euros to rescue systemic lender Bankia SA and other smaller banks would make up the figure investors viewed as necessary.	systemic	key	main	major	central	important	principal	essential	crucial	vital	critical
Eight Chinese fishing vessels were anchored off Scarborough Shoal, the Philippine government said on Wednesday, as Albert del Rosario, the country's foreign affairs secretary, called in Ma Keqing, the ambassador, for talks.	anchored	moored	berthed	docked	tied up	fastened	secured	attached	fixed	immobilized	stationary
The Screen Actors Guild Award ( also known as the SAG Award ) is an accolade given by the Screen Actors Guild‐American Federation of Television and Radio Artists ( SAG-AFTRA ) to recognize outstanding performances in film and primetime television .	accolade	award	prize	honor	distinction	recognition	commendation	tribute	plaudit	laurels	testimonial
More than 12,000 people, the majority of them civilians, have died since the Syrian uprising began in March 2011, according to the watchdog, including more than 900 killed since the April 12 truce.	uprising	rebellion	revolt	insurrection	riot	protest	strike	demonstration	revolution	unrest	mutiny
A man and a woman questioned on suspicion of assisting an offender have been released.	offender	criminal	lawbreaker	culprit	delinquent	transgressor	wrongdoer	miscreant	felon	convict	perpetrator
The government of Mariano Rajoy took the sweeping action just two days after it effectively took over the fourth-biggest bank, Bankia, to salvage its balance sheet, bulging with losses.	bulging	swollen	inflated	expanding	increasing	growing	enlarging	rising	overflowing	protruding	ballooning
The stretch of DNA transcribed into an RNA molecule is called a transcription unit and encodes at least one gene .	encodes	represents	specifies	writes	translates	defines	describes	denotes	symbolizes	signifies	conveys
Pygmalion is a play by George Bernard Shaw , named after a Greek mythological character .	mythological	legendary	mythic	fabulous	fictitious	imaginary	historical	symbolic	allegorical	metaphysical	cosmogonic
An anonymous author romanized the spelling to Loxodonta and the International Code of Zoological Nomenclature ( ICZN ) recognizes this as the proper authority .	romanized	latinized	changed	altered	converted	modified	revised	rewritten	translated	transliterated	spelled
When police arrived they found a fatally injured 17-year-old girl in the front yard of the house, which is in a quiet neighborhood of single family residences.	residences	homes	dwellings	houses	flats	apartments	abodes	mansions	bungalows	cottages	estates
#9-11 Six of the ringleaders have been captured and sent to other facilities.	ringleaders	instigators	leaders	organizers	conspirators	originators	founders	initiators	masterminds	perpetrators	inciters
The attack began with a suicide car bomb near the gate of the privately guarded compound, which sits off Jalalabad road — one of the main thoroughfares out of the city, Interior Ministry spokesman Sediq Sediqi said.	compound	enclosure	building	premises	grounds	estate	complex	area	site	facility	campus
The unsophisticated nature of the attack suggests little planning beyond having fighters and some explosives pre-positioned in the vicinity of Kabul.	pre-positioned	placed	located	positioned	stationed	situated	deployed	emplaced	installed	settled	established
#32-6 However, he is listed on the Republican Party's website as one of 18 candidates and filed a Federal Election Commission (FEC) complaint against Fox News for his exclusion from the August 6 debate.	exclusion	omission	removal	elimination	dismissal	rejection	exclusion	banishment	expulsion	ejection	deletion
#17-15 Mark Zuckerberg posted on Facebook "I'm so happy for all of my friends and everyone in our community who can finally celebrate their love and be recognized as equal couples under the law".	recognized	accepted	acknowledged	known	identified	admitted	approved	certified	established	respected	honored
#42-61 Wikinews: Are there any ethical considerations around exposing ants to toxins and parasites?	toxins	poisons	venoms	substances	chemicals	pollutants	hazards	contaminants	dangers	pesticides	drugs
In January 2011 , he was nominated for the Academy Award for Best Documentary for the film .	nominated	proposed	recommended	suggested	put forward	named	appointed	designated	chosen	selected	identified
#6-15 The Obama administration has seen what The New York Times calls an "unprecedented crackdown on leaks of government secrets."	unprecedented	record-breaking	unparalleled	unmatched	unequalled	unrivaled	unique	unknown	innovative	novel	fresh
Two Chinese maritime surveillance ships, identified as Zhonggou Haijian 75 and Zhonggou Haijian 84, later approached and positioned themselves between the Philippine warship and the Chinese fishing vessels "thus preventing the arrests of the erring Chinese fishermen", the statement said.	erring	wrongdoing	guilty	erring	misbehaving	culpable	blameworthy	faulty	defective	flawed	imperfect
#28-28 Saying his lawyer had instructed him not to speak about the events of Saturday inside the home, Conley did have the following to say about the Jackson children: "They were growing up to be monsters, they were disrespectful, rude in school.	monsters	brats	tyrants	ogres	devils	beasts	brutes	fiends	demons	imps	gremlins
#6-4 The information Manning released to the public through WikiLeaks and The Guardian in 2010 included diplomatic accounts, videos, military incident logs, and battle plans, including footage of an American Apache helicopter firing on suspected Iraqi insurgents, reports of prisoners held in Guantanamo Bay without trial, and records of detainees abused by the Iraqi military.	detainees	prisoners	captives	inmates	internees	POWs	hostages	defendants	accused	convicts	criminals
The Chinese Embassy accused the Philippine warship of harassing the fishermen and called for it to leave Chinese territory.	harassing	bothering	annoying	troubling	pursuing	pestering	baiting	teasing	badgering	tormenting	plaguing
#42-86 There's conflicting evidence about whether sick ants actually smell different from healthy ones or not.	conflicting	inconsistent	contradictory	disagreeing	discordant	incongruous	opposite	divergent	clashing	differing	irreconcilable
#36-7 The following day, Indianapolis Motor Speedway president Doug Boles and Hulman & Company Mark Miles officially announced Wilson's death.	announced	revealed	declared	stated	confirmed	reported	told	disclosed	published	broadcast	proclaimed
Obama earlier dropped from night skies into Kabul on a brief visit amid secrecy and tight security and signed a deal with President Hamid Karzai, cementing 10 years of U.S. aid for Afghanistan after NATO combat troops leave in 2014.	cementing	securing	strengthening	solidifying	guaranteeing	ensuring	confirming	ratifying	finalizing	settling	establishing
Many Syrians accuse Assad of exploiting that divide by unleashing Alawite gunmen known as "shabiha" who operate as hired muscle for the regime.	unleashing	releasing	freeing	loosening	unleashing	liberating	issuing	publishing	exposing	sparking	triggering	initiating
#35-36 "In my judgment the common law," the judgement reads, "and in particular the principles of natural justice and fairness, would in a case such as this which involves the right to life, and the right to a fair trial, as well as powerful countervailing issues of public interest, compel the court to apply the most intense level of anxious scrutiny to the facts to ensure that the accused were not prejudiced."	scrutiny	examination	investigation	analysis	inspection	review	probe	inquiry	study	survey	assessment
A spokeswoman for Merseyside Police said: "Crime scene investigators are in attendance at the scene and officers are appealing to anyone who may have seen anyone acting suspiciously on Bidston Hill over the last few days to come forward.	suspiciously	doubtfully	cautiously	secretively	covertly	stealthily	furtively	surreptitiously	privately	mysteriously	cryptically
It originated in , and was first introduced in 1983 in Japan as a grapefruit-flavored sports drink , as a response to a competitor 's brand of sports drink called Pocari Sweat .	originated	started	came	began	stemmed	arose	derived	sprang	emerged	developed	created
The statue was moved to the Accademia Gallery in Florence in 1873 , and later replaced at the original location by a replica .	replica	copy	duplicate	reproduction	model	imitation	clone	mockup	facsimile	knockoff	counterfeit
I believe that ignoring public opinion discredits the authorities and destabilises the situation.	discredits	disgraces	impugns	defames	denounces	condemns	criticizes	censures	rebukes	decries	vilifies
But Crocker said there would be no repeat of the 1990s when a withdrawal of Western backers in the wake of the Soviet withdrawal unleashed a vicious civil war out of which the Taliban and al Qaeda support bases arose.	vicious	fierce	brutal	violent	cruel	savage	ferocious	intense	harsh	severe	barbarous
His speech came as an already difficult relationship with Mr Karzai has been strained by recent events, including the release of photos showing US soldiers posing with the remains of Taliban insurgents and a US staff sergeant who has been charged in the killing of 16 Afghan civilians.	strained	tense	taut	stretched	extended	drawn out	pulled	tightened	tested	pushed	pressed
The state will put less than 15 billion euros into the latest of the four separate bank rescues that Spain has enacted over the past three years, de Guindos estimated.	enacted	passed	made	done	performed	carried out	executed	imposed	introduced	implemented	adopted
#11-7 When exposed to the laser, the primed mice would first stalk and then pounce on and bite any object in their enclosure, even objects without any food scent or prey value, like sticks and bottle caps.	primed	prepared	ready	prompted	motivated	stimulated	activated	triggered	induced	conditioned	taught
The Russian Union of Journalists on Wednesday condemned police violence and called for a probe into the dozens of attacks and arrests of journalists, describing them as "an attempt to gag and intimidate society."	probe	investigation	inquiry	examination	analysis	scrutiny	study	review	inspection	audit	survey
#4-4 He was an aviator in the United States Navy and logged more than 200 landings on aircraft carriers before becoming an astronaut in 1963.	aviator	pilot	flyer	aeronaut	airman	flier	aviator	navigator	captain	driver	operator
#36-12 The contract had previously been for two races, but after acquiring sponsorship, the deal was increased by five events; earlier in August, Wilson recorded a best finish of second at Mid-Ohio Sports Car Course.	acquiring	gaining	getting	securing	obtaining	receiving	buying	purchasing	procuring	collecting	accumulating
The Syrian Observatory for Human Rights said dozens of others were wounded in the city, in the restive Homs province.	restive	unruly	agitated	turbulent	violent	rebellious	unquiet	unsettled	troublesome	fidgety	disorderly
On the diplomatic front, European Union foreign ministers meeting in Brussels on Monday  agreed fresh sanctions against Syria, the 15th round so far to protest the relentless repression of dissidents by Assad's regime.	repression	suppression	oppression	constraint	restraint	control	confinement	imprisonment	jail	incarceration	detention
#9-27 Camila Nunes, a sociologist of the Federal University of ABC, told the AFP "medium- and long-term policies to reduce the vulnerability of certain social groups [and] to prioritize prevention rather than repression" are needed.	vulnerability	weakness	fragility	susceptibility	exposure	defenselessness	helplessness	powerlessness	insecurity	danger	risk
#42-26 WWikinews: What methods and equipment were used for this investigation?	equipment	gear	machinery	appliances	apparatus	instrumentation	hardware	implements	kit	tools	devices
Tensions stemming from the 14-month-old uprising against President Bashar Assad also touched off clashes across the border in Lebanon as the revolt threatened to morph into a broader conflict.	stemming	originating	arising	resulting	deriving	emanating	flowing	springing	growing	developing	emerging
Hodgkin and Huxley 's findings led the pair to hypothesize the existence of ion channels , which were isolated only decades later .	existence	being	presence	reality	fact	occurrence	instance	case	situation	event	happening
#5-11 His government stands accused by Human Rights Watch of not taking adequate measures to protect the nation's citizens.	adequate	enough	sufficient	proper	acceptable	ample	fair	reasonable	suitable	commensurate	proportionate
It is at this point that the audience realizes that Alcina genuinely loves Ruggiero ; from now until the end of the opera , she is depicted sympathetically .	genuinely	sincerely	truly	really	authentically	honestly	truthfully	heartily	wholeheartedly	faithfully	loyally
Al - ` Ain has a higher proportion of Emirati nationals than elsewhere in the country , but the majority of its residents are expatriates particularly from the Indian sub-continent .	proportion	percentage	ratio	fraction	share	part	section	component	element	segment	quota
The motive for the killings was not known.	motive	reason	cause	intention	purpose	rationale	grounds	explanation	justification	motivation	stimulus
However, Olli Rehn, the EU's monetary affairs chief, said the European Commission has full confidence in the determination of the Spanish government to meet the fiscal targets.	determination	resolution	commitment	resolve	decision	intention	willpower	dedication	ambition	drive	firmness
World powers have backed the peace plan, which was put forward by U.N.-Arab League envoy Kofi Annan to end the crisis, but the bloodshed has not stopped.	bloodshed	violence	carnage	bloodletting	killing	slaughter	massacre	murder	conflict	brawl	clash
This reform will grant credibility and build confidence in the financial sector, increase credit flow in our country and lead to home sales at reasonable prices, Deputy Prime Minister Soraya Saenz de Santamaria said at a news conference.	credibility	trustworthiness	reliability	authenticity	legitimacy	believability	faith	confidence	integrity	probity	standing
#23-2 Everson argues his exclusion violates Title 11 of the U.S. Code of Federal Regulations in that debate hosts must not "structure the debates to promote or advance one candidate over another", and must "use pre-established objective criteria to determine which candidates may participate in a debate."	exclusion	omission	removal	barring	elimination	dismissal	rejection	banishment	expulsion	proscription	ejection
Republicans warily saluted Obama's war-zone trip but accused him of craven politics nonetheless.	craven	cowardly	weak	timid	fearful	spineless	gutless	chicken-hearted	cunning	selfish	corrupt
They will know that the United States can achieve our goals of destroying al-Qaida and denying it a safe haven, but at the same time we have the capacity to wind down this war and usher in a new era of peace here in Afghanistan.	usher	usher	introduce	inaugurate	initiate	launch	begin	start	herald	announce	signal
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media.	anonymity	privacy	secrecy	namelessness	obscurity	confidentiality	reserve	humbleness	modesty	unidentifiability	inconspicuousness
Moments later, the neighbor said, Ms. Thomas, 33, emerged from her house and called her children to come back home.	emerged	came out	appeared	surfaced	arose	originated	stemmed	developed	evolved	existed	occurred
Demonstrations on Monday and Tuesday were an unusually sustained show of indignation for the Russian opposition.	indignation	anger	outrage	indignity	resentment	irritation	annoyance	displeasure	frustration	bitterness	exasperation
#35-9 The case attracted worldwide attention with Lin and Phyo confessing, before re-enacting the killing in front of the press.	re-enacting	reenacting	repeating	reenactment	reprising	recapitulating	restaging	rehearsing	reliving	reenacted	recreated
Also Sunday, two Turkish journalists who had been detained in Syria for two months arrived in Istanbul on a plane from Iran after that country helped negotiate their release by Syrian authorities.	detained	held	jailed	imprisoned	confined	arrested	captured	incarcerated	locked	restrained	restricted
Foreign Affairs Secretary Albert del Rosario was seeking a diplomatic solution with Chinese Ambassador Ma Keqing, the TV network said.	diplomatic	tactful	diplomatic	peaceful	official	formal	amicable	friendly	courteous	statesmanlike	international
It's sad, even if they were troublemakers.	troublemakers	trouble makers	troublesome people	misfits	nuisances	pests	annoyances	problems	difficulties	inconveniences	obstacles
It often accompanies this sound with flashing its brightly marked abdomen in a further attempt to deter its predators .	abdomen	belly	stomach	tummy	midriff	torso	trunk	body	chest	waistline	paunch
#11-6 One set stimulated prey pursuit behavior, such as stalking, and the other stimulated the animal to use its jaw and neck muscles.	pursuit	chase	following	quest	hunt	search	tracking	trail	stalking	seeking	hunting
#23-12 He alleges this was done to ensure the inclusion of the low-polling candidates former Hewlett-Packard CEO Carly Fiorina, former New York governor George Pataki, Senator Lindsey Graham, and former Virginia governor Jim Gilmore, because Fox News recognizes these candidates as "major players."	inclusion	participation	entry	admission	presence	membership	addition	involvement	representation	attendance	enrollment
Our stand since we agreed to acquire Motorola has not changed and we look forward to closing the deal, a Google spokesperson told AFP.	acquire	buy	purchase	gain	obtain	get	procure	secure	takeover	capture	seize
#35-20 The case pits the two accused trying to defend a death penalty case against the possibility of jeopardising international relations; Thai police co-operated, but only in light of an agreement the report would be confidential.	confidential	secret	private	personal	individual	exclusive	privileged	classified	restricted	non-public	off-the-record
Before you make an unblock request , you should attentively read the policies and guidelines named in your block reason .	attentively	carefully	thoroughly	diligently	meticulously	scrupulously	painstakingly	conscientiously	assiduously	sedulously	fastidiously
The bombardment by regime forces resumed following the deadly clashes, it added.	bombardment	bombing	attack	bombings	assault	shelling	onslaught	blitz	strike	raid	siege
#42-30 We collected wild colonies of Formica fusca by searching through old tree-trunks in old logging sites in southern Finland.	colonies	groups	sets	populations	communities	clusters	families	collections	gatherings	assemblies	units
#12-5 Two lorries were partially crushed by the collapse, which was triggered when a digger on the back of a lorry struck the concrete bridge.	partially	partly	slightly	incompletely	halfway	somewhat	fairly	relatively	moderately	considerably	largely
#28-20 Tuesday, Conley was allowed to speak to reporters at an administrative segregation unit of the Harris County Jail.	segregation	isolation	separation	division	detention	solitude	confinement	reclusion	exclusion	quarantine	restriction
The mother of the children came out of the residence next door, called for the children to return home, at which time they left and went back to the house.	residence	house	home	dwelling	building	abode	domicile	flat	apartment	lodging	accommodation
EU sanctions Monday's violence further undermines a UN-backed peace plan that is supposed to bring an end to Syria's deadly crisis.	sanctions	punishments	penalties	prohibitions	censures	reprimands	rebukes	condemnations	criticisms	disapprovals	measures
#35-24 Both men say they were starved, suffocated, stripped naked, exposed to cold temperatures, beaten, threatened, and denied legal representation.	threatened	menaced	warned	intimidated	endangered	imperiled	jeopardized	assailed	attacked	harassed	bullied
The Russian Union of Journalists condemned police violence and called for a probe into the dozens of attacks and arrests of journalists, describing them as "an attempt to gag and intimidate society."	intimidate	frighten	scare	cower	daunt	bully	threaten	coerce	terrorize	menace	discourage
#29-5 Martin, best known for spreading multiple conspiracy theories concerning the birth and religion of U.S. President Barack Obama, previously ran for the Democratic Party presidential nomination in 1988, and unsuccessfully sought the backing of the Republican Party in 2000 and 2012.	sought	attempted	tried	pursued	applied	requested	asked	demanded	required	desired	wanted
China's official approval of the deal has been a long time coming - Google managed to score regulatory approvals from the U.S. Department of Justice and the European Commission back in February (on the same day no less), but China's anti-monopoly bureau leapt into action just a few days later.	bureau	agency	office	department	division	section	branch	unit	organisation	organization	authority
The official spoke on condition of anonymity because he was not authorized to speak to the press.	anonymity	privacy	secrecy	confidentiality	namelessness	obscurity	invisibility	unidentifiability	incognito	reserve	reticence
Commander of the Moesian troops , he obtained an important victory against the invading Goths and was , for this reason , acclaimed Emperor by his army .	acclaimed	praised	applauded	hailed	commended	cheered	recognized	honored	celebrated	extolled	glorified
A 21-year-old man was arrested on April 30, on suspicion of murder and was released on bail until May 29 pending further enquiries.	enquiries	investigations	inquiries	questions	research	queries	probes	analysis	examinations	surveys	interviews
The author claims that God woke him up during his sleep and commissioned him to take dictation of what he said .	commissioned	ordered	appointed	directed	instructed	commanded	authorized	delegated	assigned	mandated	sanctioned
The first regional casino was initially proposed to be in the City of Manchester , but this has since been scrapped by the UK government soon after Gordon Brown became Prime Minister of the United Kingdom .	scrapped	abandoned	canceled	cancelled	dropped	rejected	dismissed	terminated	withdrawn	abolished	repealed
Dispatch records released Tuesday show that authorities responded to Thomas' house on three successive days in April.	successive	consecutive	following	sequential	continuous	straight	uninterrupted	running	back-to-back	adjacent	immediate
If they fail to deliver, what has been so far a national crisis will degenerate into a systemic crisis for the EU," one senior source said.	degenerate	deteriorate	decline	worsen	downgrade	corrupt	debase	demote	relegate	descend	crumble
He added: 'At around 11.10am, a 26-year-old man was arrested on suspicion of murder and a 28-year-old male and 28-year-old female were arrested on suspicion of assisting an offender.	offender	criminal	lawbreaker	culprit	delinquent	transgressor	wrongdoer	misdemeanant	miscreant	felon	malefactor
Before the trip, former President Bill Clinton touted Mr. Obama's bold decision to go after bin Laden in a campaign ad that also suggested Romney might not have made the same call.	touted	praised	commended	applauded	recommended	endorsed	supported	promoted	billed	advertised	publicized
An official who spoke on condition of anonymity because he was not authorized to speak to the press said Yitzhak Levanon returned to Cairo Sunday through Istanbul.	anonymity	secrecy	confidentiality	privacy	namelessness	obscurity	invisibility	unidentifiability	reserve	modesty	humbleness
Devotion ( Bhakti ) will cancel the effects of bad Karma and will bring a person closer to the true knowledge by purifying his mind .	purifying	cleansing	sanitizing	cleaning	purging	refining	clarifying	filtering	curing	removing	sterilizing
