This discovery helped to establish yet another spectral class even cooler than L dwarfs , known as `` T dwarfs '' , for which Gliese 229B is the prototype .	prototype	representative	model	example	standard	pattern	exemplar	key	initial	first	reference
Putin was expected to formally register later in the day to run for president, a position he held from 2000-2008, a period in which he grew more authoritarian.	authoritarian	authoritarian	autocratic	dictatorial	totalitarian	oppressive	controlling	unjust	cruel	restrictive	authorizing
#7-8 Despite the fog, other flights are reported to have landed safely leading up to the collision.	collision	crash	accident	incident	incident	impact	encounter	strike	mishap	brouhaha	occurrence
The larva grows to about 120-130 mm , and pupates in an underground chamber .	pupates	develops	matures	changes	forms	transforms	cocoons	goes through a metamorphosis	encases itself
Gorbachev told the Interfax news agency that authorities must hold a fresh election or deal with a rising tide of discontent.	discontent	dissatisfaction	unhappiness	disapproval	frustration	anger	uprising	rebellion	opposition	protest	grievance
It decomposes to arsenic trioxide , elemental arsenic and iodine when heated in air at 200 ° C.	decomposes	breaks down	splits	disintegrates	transforms	changes	degrades	melts	fades	vaporizes	burns
#4-6 In 1969 Cernan flew aboard Apollo 10, a flight to the Moon that rehearsed a descent but purposefully did not land in preparation for the Apollo 11 landing.	descent	landing	flight	journey	trip	voyage	descent	approach	drop	fall	journey
Lebanon is sharply split along sectarian lines, with 18 religious sects.	sectarian	religious	denominational	sectarian	spiritual	ethnical	ethnic	tribal	political	ideological	confessional
The fighting highlights how easily trouble in Syria can raise tensions in neighboring Lebanon, with which it shares a complex web of political and sectarian ties and rivalries.	sectarian	religious	ethnic	political	ideological	confessional	tribal	cultural	social	group-based	divisive
He said the victim died in the neighbourhood of Jabal Mohsen, populated mainly by members of Assad's Alawite sect, an offshoot of Shiite Islam.	offshoot	branch	division	sectarian	subgroup	offspring	derivative	lineage	variant	subdivision	progeny
The Order was the first national decoration awarded by the Japanese Government , created on 10 April 1875 by decree of the Council of State .	decree	order	regulation	directive	command	resolution	proclamation	instruction	ruling	law	act
Police said suicide attackers wearing burqas struck at 6:15 am (0145 GMT), detonating a car bomb before clashing with guards.	detonating	exploding	triggering	setting off	activating	causing	initiating	exploding	firing	discharging	launching
The EU believes the deficit will be 6.4 percent this year and will only be reduced by 0.1 percent in 2013.	deficit	deficit	shortfall	gap	surplus	balance	discrepancy	amount	burden	debt	expenditure
#36-14 A suggestion had been the addition of a canopy over the car's cockpit.	canopy	roof	shade	cover	shelter	top	lid	hood	structure	covering	protection
#39-22 Hyza says they will "actively cooperate with Slovak police", and "express [their] sincere condolences to the bereaved families."	condolences	sorrow	sympathy	grievances	feelings	thoughts	remembrances	expressions	sentiments	reaches	prayers
Banking reform is seen as urgent by many analysts, with yields on benchmark Spanish bonds currently close to six percent, meaning the country faces very high borrowing costs.	benchmark	standard	reference	indicator	yardstick	key	basis	metric	prototype	example	template
In Japan , rice with azuki beans ( 赤飯 ; sekihan ) is traditionally cooked for auspicious occasions .	auspicious	lucky	favorable	good	happy	blessed	propitious	portentous	fortunate	positive	celebratory
Police are appealing for information about anyone seen acting suspiciously lately at Bidston Hill, Bidston, to come forward.	suspiciously	questionably	oddly	curiously	erratically	unusually	abnormally	doubtfully	suspiciously	weirdly	irregularly
Her older sister, aged 21, lived at the rented house, in a recently built development at the back of the established housing estate.	established	existing	settled	developed	mature	long-standing	permanent	well-established	fixed	traditional	conventional
That period of intense regulatory scrutiny is a routine part of the purchasing process, as every company that makes more than 400 million yuan ($63 million) in China and 10 billion yuan ($1.6 billion) globally is subject to the process.	scrutiny	review	examination	inspection	analysis	investigation	watchdog	supervision	audit	checkup	scrutiny
An array of pro-Syrian parties support Assad's regime, as do many Lebanese citizens.	regime	government	administration	rule	authority	leadership	control	system	organization	faction	power
And in the capital Damascus, regime forces raided the neighborhood of Qaboon, while snipers were stationed on the roofs of some buildings.	snipers	soldiers	gunmen	marksman	sharpshooters	target shooters	firefighters	assailants	combatants	archers	military personnel
#2-19 Robert added the group knew travel and work in the area was dangerous, and took precautions.	precautions	measures	steps	safety measures	protections	safeguards	precautions	avoidances	warnings	strategies	efforts
The Spanish government source said the 30-billion euro provisions would have an impact in capital of about 20 billion which, added to another estimated 20 billion euros to rescue systemic lender Bankia SA and other smaller banks would make up the figure investors viewed as necessary.	systemic	systemic	critical	essential	major	important	significant	central	crucial	core	key
Eight Chinese fishing vessels were anchored off Scarborough Shoal, the Philippine government said on Wednesday, as Albert del Rosario, the country's foreign affairs secretary, called in Ma Keqing, the ambassador, for talks.	anchored	moored	docked	stationed	berthed	held	secured	moored	located	positioned
The Screen Actors Guild Award ( also known as the SAG Award ) is an accolade given by the Screen Actors Guild‐American Federation of Television and Radio Artists ( SAG-AFTRA ) to recognize outstanding performances in film and primetime television .	accolade	award	recognition	honor	prize	trophy	decoration	achievement	distinction	medal	certificate
